INSERT INTO TheoryIndex VALUES(41,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - MSbar Central mc FC',0,1);
INSERT INTO TheoryIndex VALUES(42,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.1499999999999999111,1.1499999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - MSbar Lower mc FC',0,1);
INSERT INTO TheoryIndex VALUES(43,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.3999999999999999111,1.3999999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - MSbar Upper mc FC',0,1);
INSERT INTO TheoryIndex VALUES(44,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.1100000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.4699999999999999733,1.4699999999999999733,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - POLE baseline',0,1);
INSERT INTO TheoryIndex VALUES(45,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.4699999999999999733,1.4699999999999999733,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - POLE FC',0,1);
INSERT INTO TheoryIndex VALUES(46,1,'FONLL-B',0,0,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - MSbar FC dIC off DAMP off',0,1);
INSERT INTO TheoryIndex VALUES(47,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','MSBAR',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,162.69999999999998863,162.69999999999998863,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - MSbar FC dIC off DAMP on',0,1);
INSERT INTO TheoryIndex VALUES(48,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.1100000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.6100000000000000976,1.6100000000000000976,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - POLE baseline Upper mc',0,1);
INSERT INTO TheoryIndex VALUES(49,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.1100000000000000976,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.330000000000000071,1.330000000000000071,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - POLE baseline Lower mc',0,1);
INSERT INTO TheoryIndex VALUES(50,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.6100000000000000976,1.6100000000000000976,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - POLE FC Upper mc',0,1);
INSERT INTO TheoryIndex VALUES(51,1,'FONLL-B',1,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.330000000000000071,1.330000000000000071,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'Final IC NLO - POLE FC Lower mc',0,1);
INSERT INTO TheoryIndex VALUES(52,1,'FONLL-B',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO central',0,1);
INSERT INTO TheoryIndex VALUES(53,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO central',0,1);
INSERT INTO TheoryIndex VALUES(54,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC central - dIC off, damping on',0,1);
INSERT INTO TheoryIndex VALUES(55,2,'FONLL-C',0,0,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC central - dIC and damping off',0,1);
INSERT INTO TheoryIndex VALUES(56,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.4139999999999999236,0.11799999999999999378,91.200000000000002843,1,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0QED NLO setup',0,1);
INSERT INTO TheoryIndex VALUES(57,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.4139999999999999236,0.11799999999999999378,91.200000000000002843,1,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0QED NNLO setup',0,1);
INSERT INTO TheoryIndex VALUES(58,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.8500000000000000888,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.4699999999999999733,1.4699999999999999733,1.3289999999999999591,4.580000000000000071,4.580000000000000071,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'small-x NLO+NLL, damping, mc=1.47, muc=1.86, Q0=1.85',0,1);
INSERT INTO TheoryIndex VALUES(59,1,'FONLL-B',1,0,'EXA',1.0,1.0,5,5,5,1.8500000000000000888,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.4699999999999999733,1.4699999999999999733,1.3289999999999999591,4.580000000000000071,4.580000000000000071,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'baseline for 58',0,1);
INSERT INTO TheoryIndex VALUES(60,1,'FONLL-B',0,0,'EXA',1.0,1.0,5,5,5,1.5089999999999998969,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.6009999999999999786,1.6009999999999999786,1.0,4.580000000000000071,4.580000000000000071,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'same as 58, but Q0=muc=mc=1.6',0,1);
INSERT INTO TheoryIndex VALUES(61,1,'FONLL-B',0,0,'EXA',1.0,1.0,5,5,5,1.5089999999999998969,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.6009999999999999786,1.6009999999999999786,1.0,4.580000000000000071,4.580000000000000071,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'same as 58, but Q0=muc=mc=1.6',0,1);
INSERT INTO TheoryIndex VALUES(62,1,'FONLL-B',0,0,'EXA',1.0,1.0,5,5,5,1.5989999999999999769,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,1,'NLL','POLE',1.6000000000000000888,1.6000000000000000888,1.0,4.580000000000000071,4.580000000000000071,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'same as 58, with Q0=muc=mc=1.6',0,1);
INSERT INTO TheoryIndex VALUES(63,1,'FONLL-B',0,0,'EXA',1.0,1.0,5,5,5,1.5989999999999999769,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.6000000000000000888,1.6000000000000000888,1.0,4.580000000000000071,4.580000000000000071,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'same as 59, with Q0=muc=mc=1.6',0,1);
INSERT INTO TheoryIndex VALUES(64,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO baseline',0,1);
INSERT INTO TheoryIndex VALUES(65,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO baseline',0,1);
INSERT INTO TheoryIndex VALUES(66,1,'FONLL-B',0,1,'TRN',0.5,0.5,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC xiF=xiR=0.5',0,1);
INSERT INTO TheoryIndex VALUES(67,1,'FONLL-B',0,1,'TRN',2.0,2.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC xiF=xiR=2.0',0,1);
INSERT INTO TheoryIndex VALUES(68,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,1,0.0072973525698163095934,0.00051099894600000004413,0,'LL','POLE',1.2749999999999999111,1.2749999999999999111,1.0,4.1799999999999997157,4.1799999999999997157,1.0,173.06999999999999318,173.06999999999999318,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'3.0 NNLO with QED',0,1);
INSERT INTO TheoryIndex VALUES(69,1,'FONLL-B',0,0,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC dIC=0',0,1);
INSERT INTO TheoryIndex VALUES(70,2,'FONLL-C',0,0,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC dIC=0',0,1);
INSERT INTO TheoryIndex VALUES(71,0,'ZM-VFNS',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 LO FC',0,1);
INSERT INTO TheoryIndex VALUES(72,0,'ZM-VFNS',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11799999999999999378,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 LO PC',0,1);
INSERT INTO TheoryIndex VALUES(73,1,'FONLL-B',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11600000000000000588,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC alphaS 116',0,1);
INSERT INTO TheoryIndex VALUES(74,1,'FONLL-B',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11700000000000000677,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC alphaS 117',0,1);
INSERT INTO TheoryIndex VALUES(75,1,'FONLL-B',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11899999999999999467,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC alphaS 119',0,1);
INSERT INTO TheoryIndex VALUES(76,1,'FONLL-B',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11999999999999999555,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO FC alphaS 120',0,1);
INSERT INTO TheoryIndex VALUES(77,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11600000000000000588,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO PC alphaS 116',0,1);
INSERT INTO TheoryIndex VALUES(78,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11700000000000000677,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO PC alphaS 117',0,1);
INSERT INTO TheoryIndex VALUES(79,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11899999999999999467,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO PC alphaS 119',0,1);
INSERT INTO TheoryIndex VALUES(80,1,'FONLL-B',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11999999999999999555,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NLO PC alphaS 120',0,1);
INSERT INTO TheoryIndex VALUES(81,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11600000000000000588,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 116',0,1);
INSERT INTO TheoryIndex VALUES(82,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11700000000000000677,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 117',0,1);
INSERT INTO TheoryIndex VALUES(83,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11899999999999999467,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 119',0,1);
INSERT INTO TheoryIndex VALUES(84,2,'FONLL-C',0,1,'TRN',1.0,1.0,5,5,5,1.6499999999999999111,0.11999999999999999555,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO FC alphaS 120',0,1);
INSERT INTO TheoryIndex VALUES(85,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11600000000000000588,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO PC alphaS 116',0,1);
INSERT INTO TheoryIndex VALUES(86,2,'FONLL-C',1,0,'TRN',1.0,1.0,5,5,5,1.0,0.11700000000000000677,91.200000000000002843,0,0.0074962520000000001235,1.7769999999999999129,0,'LL','POLE',1.5100000000000000088,1.5100000000000000088,1.0,4.9199999999999999289,4.9199999999999999289,1.0,172.5,172.5,1.0,'0.97428 0.22530 0.003470 0.22520 0.97345 0.041000 0.00862 0.04030 0.999152',91.187600000000003323,80.397999999999996134,1.1663786999999999462e-05,0.23125999999999999334,1,0.93799999999999994493,'NNPDF3.1 NNLO PC alphaS 117',0,1);
